"spectralSampleID","spectralSampleCode","wavelength","reflectanceCondition","reflectance"
"FSP_GUAN_20221021_1708",NA,520,"top of foliage (sunward) on white reference",0.133763756593871
"FSP_GUAN_20221021_1708",NA,521,"top of foliage (sunward) on white reference",0.137480256539302
"FSP_GUAN_20221021_1708",NA,522,"top of foliage (sunward) on white reference",0.141383525726224
"FSP_GUAN_20221021_1708",NA,523,"top of foliage (sunward) on white reference",0.145061880177855
"FSP_GUAN_20221021_1708",NA,524,"top of foliage (sunward) on white reference",0.148440567336022
"FSP_GUAN_20221021_1708",NA,525,"top of foliage (sunward) on white reference",0.151785667962185
"FSP_GUAN_20221021_1708",NA,526,"top of foliage (sunward) on white reference",0.154959419296201
"FSP_GUAN_20221021_1708",NA,527,"top of foliage (sunward) on white reference",0.157974656658058
"FSP_GUAN_20221021_1708",NA,528,"top of foliage (sunward) on white reference",0.160829697896253
"FSP_GUAN_20221021_1708",NA,529,"top of foliage (sunward) on white reference",0.163400922083887
"FSP_GUAN_20221021_1708",NA,530,"top of foliage (sunward) on white reference",0.165804647119707
"FSP_GUAN_20221021_1708",NA,531,"top of foliage (sunward) on white reference",0.168038077963106
"FSP_GUAN_20221021_1708",NA,532,"top of foliage (sunward) on white reference",0.170043044767194
"FSP_GUAN_20221021_1708",NA,533,"top of foliage (sunward) on white reference",0.171855779018319
"FSP_GUAN_20221021_1708",NA,534,"top of foliage (sunward) on white reference",0.173470673382603
"FSP_GUAN_20221021_1708",NA,535,"top of foliage (sunward) on white reference",0.174893202608186
"FSP_GUAN_20221021_1708",NA,536,"top of foliage (sunward) on white reference",0.176142575377055
"FSP_GUAN_20221021_1708",NA,537,"top of foliage (sunward) on white reference",0.177294998199176
"FSP_GUAN_20221021_1708",NA,538,"top of foliage (sunward) on white reference",0.178301452417633
"FSP_GUAN_20221021_1708",NA,539,"top of foliage (sunward) on white reference",0.179121126157218
"FSP_GUAN_20221021_1708",NA,540,"top of foliage (sunward) on white reference",0.179915604447263
"FSP_GUAN_20221021_1708",NA,541,"top of foliage (sunward) on white reference",0.180712116891818
"FSP_GUAN_20221021_1708",NA,542,"top of foliage (sunward) on white reference",0.181476895957869
"FSP_GUAN_20221021_1708",NA,543,"top of foliage (sunward) on white reference",0.182140769873996
"FSP_GUAN_20221021_1708",NA,544,"top of foliage (sunward) on white reference",0.182842190735536
"FSP_GUAN_20221021_1708",NA,545,"top of foliage (sunward) on white reference",0.183499359696199
"FSP_GUAN_20221021_1708",NA,546,"top of foliage (sunward) on white reference",0.184066283877863
"FSP_GUAN_20221021_1708",NA,547,"top of foliage (sunward) on white reference",0.184668581638424
"FSP_GUAN_20221021_1708",NA,548,"top of foliage (sunward) on white reference",0.185318808182607
"FSP_GUAN_20221021_1708",NA,549,"top of foliage (sunward) on white reference",0.185890269926703
"FSP_GUAN_20221021_1708",NA,550,"top of foliage (sunward) on white reference",0.186208767788196
"FSP_GUAN_20221021_1708",NA,551,"top of foliage (sunward) on white reference",0.186268425963772
"FSP_GUAN_20221021_1708",NA,552,"top of foliage (sunward) on white reference",0.186302512671829
"FSP_GUAN_20221021_1708",NA,553,"top of foliage (sunward) on white reference",0.186312060637474
"FSP_GUAN_20221021_1708",NA,554,"top of foliage (sunward) on white reference",0.185965563942494
"FSP_GUAN_20221021_1708",NA,555,"top of foliage (sunward) on white reference",0.18545518484211
"FSP_GUAN_20221021_1708",NA,556,"top of foliage (sunward) on white reference",0.184731101879631
"FSP_GUAN_20221021_1708",NA,557,"top of foliage (sunward) on white reference",0.183738199536565
"FSP_GUAN_20221021_1708",NA,558,"top of foliage (sunward) on white reference",0.182616881930751
"FSP_GUAN_20221021_1708",NA,559,"top of foliage (sunward) on white reference",0.181389118452423
"FSP_GUAN_20221021_1708",NA,560,"top of foliage (sunward) on white reference",0.180021640929346
"FSP_GUAN_20221021_1708",NA,561,"top of foliage (sunward) on white reference",0.178448833639215
"FSP_GUAN_20221021_1708",NA,562,"top of foliage (sunward) on white reference",0.176772697199295
"FSP_GUAN_20221021_1708",NA,563,"top of foliage (sunward) on white reference",0.175056276583401
"FSP_GUAN_20221021_1708",NA,564,"top of foliage (sunward) on white reference",0.173285299685917
"FSP_GUAN_20221021_1708",NA,565,"top of foliage (sunward) on white reference",0.171303517936422
"FSP_GUAN_20221021_1708",NA,566,"top of foliage (sunward) on white reference",0.169169317578621
"FSP_GUAN_20221021_1708",NA,567,"top of foliage (sunward) on white reference",0.16690905862196
"FSP_GUAN_20221021_1708",NA,568,"top of foliage (sunward) on white reference",0.164546967285972
"FSP_GUAN_20221021_1708",NA,569,"top of foliage (sunward) on white reference",0.162148821070341
"FSP_GUAN_20221021_1708",NA,570,"top of foliage (sunward) on white reference",0.159668819171732
"FSP_GUAN_20221021_1708",NA,571,"top of foliage (sunward) on white reference",0.157136357836892
"FSP_GUAN_20221021_1708",NA,572,"top of foliage (sunward) on white reference",0.154680679775972
"FSP_GUAN_20221021_1708",NA,573,"top of foliage (sunward) on white reference",0.152263401073035
"FSP_GUAN_20221021_1708",NA,574,"top of foliage (sunward) on white reference",0.149951173844065
"FSP_GUAN_20221021_1708",NA,575,"top of foliage (sunward) on white reference",0.147807069724132
"FSP_GUAN_20221021_1708",NA,576,"top of foliage (sunward) on white reference",0.145827071056745
"FSP_GUAN_20221021_1708",NA,577,"top of foliage (sunward) on white reference",0.143915048477321
"FSP_GUAN_20221021_1708",NA,578,"top of foliage (sunward) on white reference",0.142075201941594
"FSP_GUAN_20221021_1708",NA,579,"top of foliage (sunward) on white reference",0.140378608227894
"FSP_GUAN_20221021_1708",NA,580,"top of foliage (sunward) on white reference",0.13875687929412
"FSP_GUAN_20221021_1708",NA,581,"top of foliage (sunward) on white reference",0.13726741322363
"FSP_GUAN_20221021_1708",NA,582,"top of foliage (sunward) on white reference",0.135925420424386
"FSP_GUAN_20221021_1708",NA,583,"top of foliage (sunward) on white reference",0.134630474443229
"FSP_GUAN_20221021_1708",NA,584,"top of foliage (sunward) on white reference",0.133388208358594
"FSP_GUAN_20221021_1708",NA,585,"top of foliage (sunward) on white reference",0.132226212110295
"FSP_GUAN_20221021_1708",NA,586,"top of foliage (sunward) on white reference",0.131170695562307
"FSP_GUAN_20221021_1708",NA,587,"top of foliage (sunward) on white reference",0.130179829174711
"FSP_GUAN_20221021_1708",NA,588,"top of foliage (sunward) on white reference",0.1293178370541
"FSP_GUAN_20221021_1708",NA,589,"top of foliage (sunward) on white reference",0.128551934885996
"FSP_GUAN_20221021_1708",NA,590,"top of foliage (sunward) on white reference",0.127735778905004
"FSP_GUAN_20221021_1708",NA,591,"top of foliage (sunward) on white reference",0.127094913609205
"FSP_GUAN_20221021_1708",NA,592,"top of foliage (sunward) on white reference",0.126525555114567
"FSP_GUAN_20221021_1708",NA,593,"top of foliage (sunward) on white reference",0.125913039284
"FSP_GUAN_20221021_1708",NA,594,"top of foliage (sunward) on white reference",0.125338941448254
"FSP_GUAN_20221021_1708",NA,595,"top of foliage (sunward) on white reference",0.12486054337554
"FSP_GUAN_20221021_1708",NA,596,"top of foliage (sunward) on white reference",0.124431960415339
"FSP_GUAN_20221021_1708",NA,597,"top of foliage (sunward) on white reference",0.123941127112458
"FSP_GUAN_20221021_1708",NA,598,"top of foliage (sunward) on white reference",0.123399529254469
"FSP_GUAN_20221021_1708",NA,599,"top of foliage (sunward) on white reference",0.122838361983578
"FSP_GUAN_20221021_1708",NA,600,"top of foliage (sunward) on white reference",0.122279148240231
"FSP_GUAN_20221021_1708",NA,601,"top of foliage (sunward) on white reference",0.121720305827602
"FSP_GUAN_20221021_1708",NA,602,"top of foliage (sunward) on white reference",0.121014680800552
"FSP_GUAN_20221021_1708",NA,603,"top of foliage (sunward) on white reference",0.12019753455264
"FSP_GUAN_20221021_1708",NA,604,"top of foliage (sunward) on white reference",0.119340839603566
"FSP_GUAN_20221021_1708",NA,605,"top of foliage (sunward) on white reference",0.118324360896657
"FSP_GUAN_20221021_1708",NA,606,"top of foliage (sunward) on white reference",0.11727058677527
"FSP_GUAN_20221021_1708",NA,607,"top of foliage (sunward) on white reference",0.11622700324321
"FSP_GUAN_20221021_1708",NA,608,"top of foliage (sunward) on white reference",0.11515466161698
"FSP_GUAN_20221021_1708",NA,609,"top of foliage (sunward) on white reference",0.113962271905565
"FSP_GUAN_20221021_1708",NA,610,"top of foliage (sunward) on white reference",0.112787576246687
"FSP_GUAN_20221021_1708",NA,611,"top of foliage (sunward) on white reference",0.111704824044267
"FSP_GUAN_20221021_1708",NA,612,"top of foliage (sunward) on white reference",0.110489266822904
"FSP_GUAN_20221021_1708",NA,613,"top of foliage (sunward) on white reference",0.109247321705912
"FSP_GUAN_20221021_1708",NA,614,"top of foliage (sunward) on white reference",0.108077732344915
"FSP_GUAN_20221021_1708",NA,615,"top of foliage (sunward) on white reference",0.107045909140589
"FSP_GUAN_20221021_1708",NA,616,"top of foliage (sunward) on white reference",0.105982853583293
"FSP_GUAN_20221021_1708",NA,617,"top of foliage (sunward) on white reference",0.104945285807978
"FSP_GUAN_20221021_1708",NA,618,"top of foliage (sunward) on white reference",0.103988715411562
"FSP_GUAN_20221021_1708",NA,619,"top of foliage (sunward) on white reference",0.103136102970098
"FSP_GUAN_20221021_1708",NA,620,"top of foliage (sunward) on white reference",0.102363721359407
"FSP_GUAN_20221021_1708",NA,621,"top of foliage (sunward) on white reference",0.101650516792752
"FSP_GUAN_20221021_1708",NA,622,"top of foliage (sunward) on white reference",0.100997342797366
"FSP_GUAN_20221021_1708",NA,623,"top of foliage (sunward) on white reference",0.100493783501128
"FSP_GUAN_20221021_1708",NA,624,"top of foliage (sunward) on white reference",0.100061439457675
"FSP_GUAN_20221021_1708",NA,625,"top of foliage (sunward) on white reference",0.0996874702696402
"FSP_GUAN_20221021_1708",NA,626,"top of foliage (sunward) on white reference",0.0994090333551833
"FSP_GUAN_20221021_1708",NA,627,"top of foliage (sunward) on white reference",0.0991777505094814
"FSP_GUAN_20221021_1708",NA,628,"top of foliage (sunward) on white reference",0.0989955453470805
"FSP_GUAN_20221021_1708",NA,629,"top of foliage (sunward) on white reference",0.0988483895051394
"FSP_GUAN_20221021_1708",NA,630,"top of foliage (sunward) on white reference",0.0986709206630005
"FSP_GUAN_20221021_1708",NA,631,"top of foliage (sunward) on white reference",0.0984966182837799
"FSP_GUAN_20221021_1708",NA,632,"top of foliage (sunward) on white reference",0.0982620960323617
"FSP_GUAN_20221021_1708",NA,633,"top of foliage (sunward) on white reference",0.0978906851040225
"FSP_GUAN_20221021_1708",NA,634,"top of foliage (sunward) on white reference",0.0974717840013521
"FSP_GUAN_20221021_1708",NA,635,"top of foliage (sunward) on white reference",0.096939328383939
"FSP_GUAN_20221021_1708",NA,636,"top of foliage (sunward) on white reference",0.0962432468251882
"FSP_GUAN_20221021_1708",NA,637,"top of foliage (sunward) on white reference",0.0953677644263236
"FSP_GUAN_20221021_1708",NA,638,"top of foliage (sunward) on white reference",0.0943915987467639
"FSP_GUAN_20221021_1708",NA,639,"top of foliage (sunward) on white reference",0.0933187410897375
"FSP_GUAN_20221021_1708",NA,640,"top of foliage (sunward) on white reference",0.0921522421320839
"FSP_GUAN_20221021_1708",NA,641,"top of foliage (sunward) on white reference",0.0909644099883175
"FSP_GUAN_20221021_1708",NA,642,"top of foliage (sunward) on white reference",0.0896700825760618
"FSP_GUAN_20221021_1708",NA,643,"top of foliage (sunward) on white reference",0.0883002631988434
"FSP_GUAN_20221021_1708",NA,644,"top of foliage (sunward) on white reference",0.0869495053687865
"FSP_GUAN_20221021_1708",NA,645,"top of foliage (sunward) on white reference",0.0855872958060899
"FSP_GUAN_20221021_1708",NA,646,"top of foliage (sunward) on white reference",0.0842578595663134
"FSP_GUAN_20221021_1708",NA,647,"top of foliage (sunward) on white reference",0.0830150682199827
